image/vnd.dxf	.dxf	images	3256	
7			3222	
html			3192	
video/x-msvideo	.avi,.wmv	video	3096	
application/vnd.openxmlformats-officedocument.presentationml.presentation	.pptx	documents	3033	
application/x-spss-syntax	.sps	data	3006	
application/x-zip-compressed	.zip		3003	ZIP is one of the most popular file compression formats. It was created in 1989 as the native format of the PKZIP program, which was introduced by Phil Katz in the wake of a lawsuit (which he lost) against him by the makers of the then-popular ARC program (and file format) for copyright and trademark infringement in an earlier program PKARC which had been file-compatible with ARC. <br /><br />This resulted in Katz creating a new file format, which rapidly overtook ARC in popularity (to a large extent because of BBS sysops, then the primary users of such compression, resenting the lawsuit). Many programs have been released for a variety of operating systems to compress and decompress ZIP files, and native support for the format is built into several popular operating systems.
text/x-stata-syntax; charset=US-ASCII			2850	
text/markdown	.md,.markdown,.mdown,.markdn	documents	2845	"Markdown is a lightweight and human readable markup format for text formatting created by John Gruber and Aaron Swartz. It is similar to various forms of wiki markup. There is no formal specification for the original Markdown, and it has ambiguities that are handled inconsistently by different implementations.<br /><br />An attempt to improve on this situation was done (released 2014-09) by a group unrelated to the originators of Markdown, and was originally dubbed Standard Markdown until John Gruber objected to this name, and it was first renamed ""Common Markdown"" and later CommonMark. Markdeep is an extended Markdown implemented in JavaScript for web use."
ArcGIS FeatureService			2738	
application/vnd.isac.fcs	.fcs	data	2722	
audio/x-wave	.wav	audio	2719	
application/x-matlab-data			2718	
https://www.iana.org/assignments/media-types/text/xml			2713	
application/vnd.antix.game-component	.atx		2562	
OGC:WCS-1.1.1-http-get-coverage			2535	
OGC:WCS-1.1.1-http-get-capabilities			2535	
application/vnd.pc-axis			2504	
application/x-xfig	.fig	images	2458	
application/vnd.sdmx.data+csv; labels=both; charset=utf-8			2392	
text/turtle	.turtle	semweb	2366	
ATOM Syndication Format			2358	
application/vnd.flographit	.gph		2255	
https://www.iana.org/assignments/media-types/application/pdf			2213	
image/bil			2204	
image/dds	.dds	images	2204	
text/x-sas-syntax			2113	
application/sbn			2100	
application/sbx			2091	
application/x-qgis			2051	
application/vnd.ogc.fg+json			2044	
OGC:CSW			2032	
WWW:URL			2028	
text/csv+extended			1949	
ESRI REST: Map Service			1940	
text/plain; charset=UTF-8			1865	
WWW:STAC			1798	
text/x-c	.c,.cc,.cpp,.cxx,.dic,.h,.hh	code	1791	
null			1788	
application/rtf	.rtf		1787	
text/xml-graphml			1776	
WWW:FTP			1770	
application/vnd.ms-excel.sheet.macroenabled.12	.xlsm		1740	
https://www.iana.org/assignments/media-types/application/gml+xml			1736	
application/x-stata-14			1722	
application/vnd.shana.informed.formtemplate	.itp		1712	
audio/ogg	.oga,.ogg,.spx	audio	1711	
WWW:DOWNLOAD-1.0-link--download			1679	
application/x-thermo-isodat			1650	
video/avi			1508	
application/x-ipynb+json			1496	
https://www.iana.org/assignments/media-types/application/vnd.geospace			1448	
application/x-beyond2020	.ivt	statistics	1405	
OGC:WMTS			1382	
application/x-protobuf;type=mapbox-vector			1319	
Download			1311	
application/x-shockwave-flash	.swf	video	1310	
INSPIRE Atom			1290	
pdf			1277	
text/x-java-source	.java		1260	
application/vnd.sun.xml.math	.sxm		1213	
text/x-fortran	.f,.f77,.f90,.for	code	1204	
ZIP			1203	
application/html			1196	
application/mac-compactpro	.cpt		1179	
8			1171	
EEA:FILEPATH			1132	
https://www.iana.org/assignments/media-types/application/zip			1115	
application/x-compressed-tar	.tar.gz	archives	1093	
text/x-spss-syntax; charset=US-ASCII			1092	
OGC:WFS-http-get-capabilities			1071	
image/pjpeg	.jpe,.jpeg,.jpg,.pjpg,.jfi,.jfif,.jfif-tbnl,.jif		1061	PJPEG files refer to images wherein the Progressive JPEG format (hence JPEG) is used for bitmap images.
text/x-vcard	.vcf		1047	
zip			1042	
WWW:LINK			1039	
application/x-bzip	.bz		1029	
application/x-compressed			1022	
application/rar	.rar	archives	1022	
FILE:GEO			1020	
application/javascript			1017	
application/vnd.tcpdump.pcap			1012	
application/x-tika-msoffice			1010	
OGC:WFS-1.0.0-http-get-feature			1005	
application/vnd.lotus-approach	.apr		979	
application/x-msdownload	.bat,.com,.dll,.exe,.msi		972	
http://www.opengis.net/def/serviceType/ogc/wms			956	
HTML			952	
application/x-sh	.sh		935	
ESRI:REST			924	
ESRI REST: Feature Service			922	
website			899	
model/vnd.vtu	.vtu		893	
application/x-spss-por			893	
Shape			884	
EEA:FOLDERPATH			883	
application/x-msaccess	.mdb	data	873	
image/vnd.dwg	.dwg	geodata	866	
application/x-stata-smcl			858	
text/plain;charset=UTF-8			857	
video/h264	.h264	video	856	"Advanced Video Coding (AVC), also referred to as H.264 or MPEG-4 Part 10, Advanced Video Coding (MPEG-4 AVC), is a video compression standard based on block-oriented, motion-compensated integer-DCT coding.[1] It is by far the most commonly used format for the recording, compression, and distribution of video content, used by 91% of video industry developers as of September 2019.<br /><br />It supports resolutions up to and including 8K UHD.<br /><br />H.264 is controversial for being patent-encumbered, and hence subject to royalty requirements. In 2013, Cisco is attempting to partially remedy this by producing a freely distributed executable H.264 codec for many platforms for which they have paid the royalty, allowing anybody to download and use it in unmodified form royalty-free. The source code is also openly available, but any altered versions that anybody might create from it would require separate licensing, as would any distribution of the executables other than direct download from Cisco. Thus, the only way to use it as part of a product without additional license fees is to have the product's installer download the executable from Cisco during the install process, rather than including it directly in your own product (whether on disk or downloadable from your site).<br /><br />HEVC (H.265) has been developed as a more efficient successor to this format, but it is also patent-encumbered. Attempts to create a royalty-free alternative include AV1, Daala, VP9, and Thor.<br /><br />The H.264 specification does not, in an extremely strict sense, define a codec which fits into a series of bytes; instead, it describes the stream as fitting into a sequence of frames called ""network abstraction layer units"", which can then be delineated into a raw byte format by the user. The format for putting these into a raw bytestream described by Annex B of the specification apparently is apparently very widely-used."
MIF			855	
GPX			855	
9			832	
text/x-objcsrc			814	
application/x-sas-system			813	
application/winhlp	.hlp	documents	807	
image/DNG			798	
UKST			782	
OGC:API:Features			778	
application/xls			774	
csv-restricted-column			773	
csv-with-metadata-header			773	
text/x-python-script	.py	code	771	
Web Map Service (WMS)			770	
WWW:OPENDAP			757	
text/rtf			746	
application/vnd.ms-powerpoint	.pot,.ppa,.pps,.ppt,.pwz		736	
ATOM			719	
WWW:DOWNLOAD			717	
text/x-log			714	
image/x-freehand	.fh,.fh4,.fh5,.fh7,.fhc		707	
ESRI REST: Map Server			705	
text/x-stata-syntax	.do	code	688	
https://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.spreadsheetml.sheet			675	
text/x-r-notebook			665	
None			664	
10			657	
application/x-font-bdf	.bdf	images	630	
application/vnd.ogc.ows			622	
MYO:MOTU-SUB			619	
xlsx			618	
application/java-vm	.class		616	
application/x-matlab-workspace			614	
image/raw	.raw	images	612	
[]			603	
wms:WMS_Capabilities (WMS 1.3.0)			602	
application/excel			601	
application/vnd.lotus-1-2-3	.123		598	
application/x-stata-13			587	
text/css	.css	code	585	
application/ld+json			568	
application/marc	.mrc		564	
11			563	
text/n3	.n3	semweb	553	
image/RAW			551	
text/x-r-source			534	
WWW-DOWNLOAD			527	
image/x-sony-arw	.arw		518	Sony ARW is a raw image format used by some Sony digital cameras. It is based on TIFF.
HTTP:Information			517	
12			516	
application/x-tgif			515	
image/dicom-rle			512	
application/vnd.ms-ims	.ims		502	
application/vnd.ms-excel.sheet.macroEnabled.12			494	
"
        image/png
      "			491	
application/vnd.ogc.wfs_xml			486	
http://www.opengis.net/def/serviceType/ogc/wfs			476	
application/cnt			475	
wms			455	
application/x-xz			445	
application/x-iso9660-image	.iso,.isoimg,.cdr	data	444	An ISO image is a file containing an image of an optical disc (CD, DVD, etc.), which can be stored and transferred on other media. It is an uncompressed image containing all the data on the CD. (However, audio CDs are unable to be stored in this format because of technical differences in that format; the DDP or CUE and BIN formats can be used instead.) It usually uses the ISO 9660 filesystem, but UDF and Apple Partition Map may also be used.
geojson			443	
marvl xml			442	
application/warc	.warc	data	439	
OGC:WFS-1.0.0-http-get-feature--shapefile			437	
OGC:WCS-1.1.0-http-get-capabilities			436	
IMOS:AGGREGATION--bodaac			425	
xls			418	
application/vnd.oasis.opendocument.text	.odt	documents	413	
application/flatgeobuf			412	
application/x-font-ghostscript	.gsf		406	
esri rest			405	
13			398	
application/x-pkcs7-certificates	.p7b,.spc		383	
IMOS:NCWMS--proto			382	
xml			381	
dataset			381	
"
        image/jpeg
      "			375	
ArcSDE Connection			366	
application/csv			365	
https://www.iana.org/assignments/media-types/text/html			364	
text/x-spss-syntax			344	
text/CSV			339	
text/x-sas-syntax; charset=US-ASCII			334	
audio/x-aac			333	
XML			332	
OGC:WMS			322	
application/x-mscardfile	.crd	audio	321	
kml			318	
video/webm	.webm	video	317	WebM is a video and audio container format released by Google, used with content encoded under the VP8 or VP9 codecs for video, and Vorbis and Opus for audio. It is a variant of Matroska, based on EBML.
"
        application/vnd.google-earth.kml+xml
      "			303	
Web Feature Service (WFS)			300	
application/vndms-excel			298	
WWW:DOWNLOAD-1.0-http--csiro-dap			297	
text/x-pascal	.p,.pas,.pp,.inc		291	Pascal is an influential imperative and procedural programming language, designed in 1968–1969 and published in 1970. Borland's Turbo Pascal, and the later Borland Pascal, were popular in the 1980s and early 1990s on the PC/MS-DOS platform (CP/M versions were also released).
https://www.iana.org/assignments/media-types/application/geo+json			282	
image/x-png			282	
