text	mime	ext	count
http://publications.europa.eu/resource/authority/file-type/DOCX		.docx	6
https://www.iana.org/assignments/media-types/application/vnd.google-earth.kmz		.kmz	5
http://publications.europa.eu/resource/authority/file-type/geojson		.geojson	5
SHP (ESRI SHAPE)		.shp	5
http://publications.europa.eu/resource/authority/file-type/ODT		.odt	5
ESRI Shapefile		.shp	5
Turtle		.ttl	5
https://www.iana.org/assignments/media-types/application/vnd.hdt		.hdt	4
https://www.iana.org/assignments/media-types/application/vnd.hdt		.hdt	4
7zip		.7z	4
http://publications.europa.eu/resource/authority/file-type/ODP		.odp	4
https://www.iana.org/assignments/media-types/application/vnd.ms-excel		.xls	4
Cloud Optimized GeoTIFF		.geotiff	4
http://publications.europa.eu/resource/authority/file-type/GZIP		.gz	4
https://www.iana.org/assignments/media-types/application/vnd.hdt		.hdt	4
GeoTiff		.geotiff	4
parquet		.parquet	4
RDF-XML		.rdf	4
