mime	name	exts	default_mime	default_ext	categories	count
application/x-stata-dta						92
application/x-font-ttf		.ttc,.ttf		.ttf	images	90
application/vnd.lotus-notes		.nsf		.nsf	other	89
application/CDFV2						89
application/xhtml+xml		.xht,.xhtml		.xht	documents	87
video/x-ms-wmv		.wmv		.wmv	video	84
application/x-troff-man		.man		.man	documents	81
application/pgp-keys						78
text/troff		.man,.me,.ms,.roff,.t,.tr		.man	documents	76
application/sparql-query		.rq		.rq	data	76
text/pdf		.pdf		.pdf	documents	75
text/x-tex						73
application/vnd.shp						72
application/x-dbf						70
text/prs.lines.tag		.dsc		.dsc	other	69
application/vnd.publishare-delta-tree		.qps		.qps	other	66
application/api						66
image/jp2		.jp2		.jp2	images	65
video/x-matroska		.mkv		.mkv	video	65
application/x-iwork-keynote-sffkey						63
application/x-swc						63
text/vnd.fmi.flexstor		.flx		.flx	other	62
dwg/dxf						61
application/text						61
application/x-troff						60
audio/x-flac						60
application/download						59
audio/basic		.au,.snd		.au	other	58
application/vnd.pg.format		.str		.str	other	58
application/vnd.ms-word.document.macroenabled.12		.docm		.docm	documents	57
application/x-tcl		.tcl		.tcl	code	56
application/x-graphpad-prism-pzfx						56
application/x-yaml						56
application/vnd.enliven		.nml		.nml	other	54
application/x-matroska						54
text/vcard						53
application/vnd.ecowin.chart		.mag		.mag	other	52
application/dat						52
application/vnd.americandynamics.acc		.acc		.acc	other	51
application/pjnz						51
text/x-comma-separated-values						50
application/x-sas-catalog						50
text/tab	.tab	.tab	data			48
application/x-fasta						48
text/calendar		.ics,.ifb		.ics	other	47
video/ogg		.ogv		.ogv	video	46
application/softgrid-do						46
application/xml-dtd		.dtd		.dtd	data	45
application/x-matlab-figure						45
application/vnd.oasis.opendocument.chart		.odc		.odc	documents	43
audio/x-ms-wma		.wma		.wma	audio	43
application/x-r-data						43
application/vnd.ogc.wmc						43
application/csv; charset=utf-8						43
text/html; charset=UTF-8						42
application/vnd.koan		.skd,.skm,.skp,.skt		.skd	other	41
application/x-zipped-shp						41
application/x-emf						41
multipart/x-zip						40
application/x-gameboy-rom						40
application/x-esri-shape						40
application/p21						39
application/icms						39
application/x-json-hypothesis						38
text/sis						37
application/sla						37
image/vnd.fst		.fst		.fst	images	36
application/xcap-diff+xml						36
audio/wave						35
image/webp		.webp		.webp	images	34
application/x-bibtex-text-file						34
application/x-dtbresource+xml		.res		.res	other	33
model/vrml		.vrml,.wrl		.vml	other	33
application/shapefile						33
application/nappdf						33
application/x-msexcel						33
application/blender						32
image/x-panasonic-rw						32
application/vnd.openxmlformats-officedocument.presentationml.pre						32
application/x-tar-compressed						32
application/vnd.dna		.dna		.dna	other	30
application/x-gtar		.gtar		.gtar	other	30
application/vnd.epson.ssf		.ssf		.ssf	other	30
application/opensearchdescription+xml						30
application/macbinary						29
application/vnd.shx						29
application/pgp-signature		.asc,.sig		.sig	other	27
application/x-webarchive						27
application/x-aportisdoc						27
application/WMS						27
text/x-markdown		.md,.markdown,.mdown,.markdn	text/markdown	.md	documents	26
text/x-spss-syntax; charset=UTF-8						26
text/x-web-markdown						26
application/pkix-attr-cert						26
audio/mod						26
application/x-ms-shortcut						25
xml/soap						25
application/vnd.llamagraphics.life-balance.exchange+xml		.lbe		.lbe	other	24
application/x-wais-source		.src		.src	other	24
application/vnd.openxmlformats						24
image/rwl						24
application/vnd.wolfram.nb						24
application/vnd.sun.xml.calc.template		.stc		.stc	other	23
application/x-123						23
application/x-font-woff						23
application/pkcs7-signature		.p7s		.p7s	other	22
application/x-dbase						22
application/x-director		.cct,.cst,.cxt,.dcr,.dir,.dxr,.fgd,.swa,.w3d			other	21
application/vnd.ms-htmlhelp		.chm		.chm	documents	21
application/x-mspublisher		.pub		.pub	documents	21
application/x-zip		.zip		.zip	archives	21
application/x-spss-sps						21
application/vnd.ogc.wmts_xml	.wmts	.wmts	geodata			21
application/x-font-type1		.afm,.pfa,.pfb,.pfm		.afm	documents	20
text/x-yaml		.yaml,.yml		.yaml	data	20
text/x-uri						20
application/rat-file						20
audio/vnd.dts		.dts		.dts	other	19
text/php		.php		.php	code	19
application/yaml		.yaml,.yml		.yaml	data	19
application/n-triples						19
application/json; charset=utf-8						19
application/morphographx.mgxm						19
application/x-download						19
video/vnd.dlna.mpeg-tts					video	19
application/x-jmp-data						19
application/vnd.dynageo		.geo			other	18
audio/mp4		.mp4,.m4a,.m4b,.m4p,.m4r,.m4v,.mp4v,.3gp,.3g2,.3ga,.3gpa,.3gpp,.3gpp2,.3gp2		.mp4	video	18
text/html; charset=iso-8859-1						18
text/directory						18
application/vnd						18
application/fdt+xml						18
text/x-r-doc						17
text/x-c++src						17
application/vnd.wm.igor.pxp						17
application/sql						17
application/vnd.google-apps.document						17
application/x-sas-transport						17
application/java-serialized-object		.ser			other	16
text/x-bibtex						16
application/vnd.openxmlformats-officedocument.wordprocessingml.d						16
application/x-pdf						16
audio/audible						16
application/wms						16
application/vnd.ogc.csw.capabilities.response_xml	.csw	.csw	geodata			16
image/vnd.microsoft.icon		.ico		.ico	images	15
text/x-asm		.asm,.s		.asm	code	15
application/Groundwater Level Data Viewer						15
video/x-flv		.flv		.flv	video	14
model/iges		.iges,.igs		.igs	other	14
application/x-python-code		.pyc,.pyo		.pyc	code	14
text/rdf						14
text/x-perl-script						14
application/x-cfs-compressed						14
chemical/x-gamess-input						14
application/x-sas-log						14
multipart/mixed						14
application/x-iwork-keynote-sffnumbers						14
application/xlsx						14
application/x-bibtex						14
image/jpg						14
application/x-archive						14
image/png;charset=UTF-8		.png	image/png	.png	images	13
application/x-stuffit		.sit		.sit	other	13
text/x-makefile						13
text/x-expect						13
application/x-docker-file						13
chemical/x-cdx		.cdx			other	12
model/mesh		.mesh,.msh,.silo		.mesh	other	12
image/svg		.svg		.svg	images	12
text/x-jmp-script						12
text/html; charset="utf-8"						12
application/aspx						12
application/vnd.google-earth						12
chemical/x-mopac-input						12
application/vnd.snapgene.dna						12
application/x-jmp-report						12
application/vnd.wolfram.mathematica						12
application/vnd.Kinar						12
image/x-raw-panasonic						12
image/x-icon		.ico		.ico	images	11
application/vnd.lotus-organizer		.org				11
application/vnd.openxmlformats-officedocument.spreadsheetml.template		.xltx		.xltx	documents	11
text/x-stata-syntax; charset=UTF-8						11
application/tar						11
application/x-wine-extension-do						11
audio/vnd.dlna.adts						11
application/x-ruby						11
application/vnd.google-earth.kmz+xml						11
application/docx						11
application/vnd.ms-fontobject		.eot				10
image/tiff; application=geotiff		.tif,.tiff	image/tiff	.tif	images	10
text/html; subtype=emikat						10
application/jsv						10
video/x-smv					video	10
audio/x-ape						10
application/vnd.ms-office						10
application/x-itunes-itlp						10
application/xls; charset=utf-8						10
application/xml;charset=UTF-8						10
application/vnd.openxmlformats-officedocument.spreadsheetml.shee						10
application/xslt+xml		.xslt		.xslt	documents	9
text/asp						9
text/x-qml						9
text/x-julia						9
application/force-download						9
text/JSON						9
test/42						9
zip/shp						9
application/wfs						9
biosequence/fasta						9
application/x-tika-ooxml						9
application/haansoftdocx						9
application/WMTS						9
application/xml+gml						9
application/PDF						9
application/mbox		.mbox		.mbox	other	8
application/vnd.mcd		.mcd				8
text/x-common-lisp						8
application/vnd.ms-pkistl						8
binary/octet-stream						8
image/x-lwo						8
application/vnd.inquisit.data						8
chemical/seq-na-genbank						8
application/x-sas-output						8
application/vnd.ms-access						8
image/x-eps						8
